TARGET, TARGETLABEL, STAT, LABEL, TRAIN, VALIDATE, TEST, 
DEP_DEL15, , _DFT_, Total Degrees of Freedom, 67822, 
DEP_DEL15, , _DFE_, Degrees of Freedom for Error, 67187, 
DEP_DEL15, , _DFM_, Model Degrees of Freedom, 635, 
DEP_DEL15, , _NW_, Number of Estimated Weights, 635, 
DEP_DEL15, , _AIC_, Akaike's Information Criterion, 59355.100019, 
DEP_DEL15, , _SBC_, Schwarz's Bayesian Criterion, 65149.247629, 
DEP_DEL15, , _ASE_, Average Squared Error, 0.1317513531, 0.1326273757, 
DEP_DEL15, , _MAX_, Maximum Absolute Error, 0.96683857, 0.9672777674, 
DEP_DEL15, , _DIV_, Divisor for ASE, 135644, 135652, 
DEP_DEL15, , _NOBS_, Sum of Frequencies, 67822, 67826, 
DEP_DEL15, , _RASE_, Root Average Squared Error, 0.3629756921, 0.3641804165, 
DEP_DEL15, , _SSE_, Sum of Squared Errors, 17871.280538, 17991.168772, 
DEP_DEL15, , _SUMW_, Sum of Case Weights Times Freq, 135644, 135652, 
DEP_DEL15, , _FPE_, Final Prediction Error, 0.1342417786, 
DEP_DEL15, , _MSE_, Mean Squared Error, 0.1329965658, 0.1326273757, 
DEP_DEL15, , _RFPE_, Root Final Prediction Error, 0.3663901999, 
DEP_DEL15, , _RMSE_, Root Mean Squared Error, 0.3646869422, 0.3641804165, 
DEP_DEL15, , _AVERR_, Average Error Function, 0.4282172453, 0.4306739229, 
DEP_DEL15, , _ERR_, Error Function, 58085.100019, 58421.778994, 
DEP_DEL15, , _MISC_, Misclassification Rate, 0.1648285217, 0.1648335447, 
DEP_DEL15, , _WRONG_, Number of Wrong Classifications, 11179, 11180, 
