TARGET, TARGETLABEL, STAT, LABEL, TRAIN, VALIDATE, TEST, 
DEP_DEL15, , _AIC_, Akaike's Information Criterion, 58230.856491, 
DEP_DEL15, , _ASE_, Average Squared Error, 0.1318394794, 0.1327157907, 
DEP_DEL15, , _AVERR_, Average Error Function, 0.4284513616, 0.4309328919, 
DEP_DEL15, , _DFE_, Degrees of Freedom for Error, 67765, 
DEP_DEL15, , _DFM_, Model Degrees of Freedom, 57, 
DEP_DEL15, , _DFT_, Total Degrees of Freedom, 67822, 
DEP_DEL15, , _DIV_, Divisor for ASE, 135644, 135652, 
DEP_DEL15, , _ERR_, Error Function, 58116.856491, 58456.908646, 
DEP_DEL15, , _FPE_, Final Prediction Error, 0.1320612709, 
DEP_DEL15, , _MAX_, Maximum Absolute Error, 0.9682976931, 0.9687845312, 
DEP_DEL15, , _MSE_, Mean Square Error, 0.1319503751, 0.1327157907, 
DEP_DEL15, , _NOBS_, Sum of Frequencies, 67822, 67826, 
DEP_DEL15, , _NW_, Number of Estimate Weights, 57, 
DEP_DEL15, , _RASE_, Root Average Sum of Squares, 0.363097066, 0.3643017852, 
DEP_DEL15, , _RFPE_, Root Final Prediction Error, 0.3634023539, 
DEP_DEL15, , _RMSE_, Root Mean Squared Error, 0.3632497421, 0.3643017852, 
DEP_DEL15, , _SBC_, Schwarz's Bayesian Criterion, 58750.96108, 
DEP_DEL15, , _SSE_, Sum of Squared Errors, 17883.234338, 18003.162441, 
DEP_DEL15, , _SUMW_, Sum of Case Weights Times Freq, 135644, 135652, 
DEP_DEL15, , _MISC_, Misclassification Rate, 0.1648874996, 0.1649367499, 
